filename,bristol_type
Captura de Tela 2025-11-05 às 12.00.25.png,5
Captura de Tela 2025-11-05 às 12.13.35.png,7
Captura de Tela 2025-11-05 às 10.41.33.png,1
Captura de Tela 2025-11-05 às 12.06.48.png,6
Captura de Tela 2025-11-05 às 12.10.23.png,5
TWvTAHn0L0zL.jpeg,5
Captura de Tela 2025-11-05 às 11.29.35.png,4
Captura de Tela 2025-11-05 às 11.00.45.png,1
Captura de Tela 2025-11-05 às 11.00.04.png,3
Captura de Tela 2025-11-05 às 11.26.53.png,3
Captura de Tela 2025-10-23 às 11.08.13.png,5
Captura de Tela 2025-11-05 às 12.03.56.png,6
Captura de Tela 2025-11-05 às 09.39.13.png,5
Captura de Tela 2025-11-05 às 11.47.19.png,4
Captura de Tela 2025-11-10 às 11.04.45.png,2
Captura de Tela 2025-11-05 às 10.39.31.png,1
Captura de Tela 2025-11-10 às 12.33.48.png,4
Captura de Tela 2025-11-05 às 11.53.37.png,4
Captura de Tela 2025-11-05 às 10.46.15.png,1
h5rVydkPXg1T.jpg,6
Captura de Tela 2025-11-05 às 10.44.13.png,3
Captura de Tela 2025-11-05 às 11.59.00.png,1
Captura de Tela 2025-10-23 às 11.58.31.png,6
Captura de Tela 2025-11-05 às 11.10.32.png,3
Captura de Tela 2025-11-05 às 11.41.08.png,4
Captura de Tela 2025-11-10 às 11.38.51.png,3
Captura de Tela 2025-10-23 às 11.52.11.png,3
Captura de Tela 2025-10-23 às 11.50.37.png,6
Captura de Tela 2025-11-10 às 14.58.14.png,4
Captura de Tela 2025-11-09 às 13.05.09.png,3
Captura de Tela 2025-11-10 às 12.22.48.png,4
Captura de Tela 2025-11-05 às 10.42.59.png,1
Captura de Tela 2025-11-10 às 12.28.33.png,4
Captura de Tela 2025-11-05 às 12.03.28.png,5
Captura de Tela 2025-11-05 às 11.43.05.png,4
Captura de Tela 2025-11-05 às 10.42.26.png,5
Captura de Tela 2025-10-23 às 12.16.26.png,7
Captura de Tela 2025-11-05 às 12.08.44.png,7
Captura de Tela 2025-11-10 às 11.36.02.png,3
Captura de Tela 2025-11-05 às 09.21.58.png,5
Captura de Tela 2025-11-05 às 09.31.08.png,5
Captura de Tela 2025-11-10 às 12.01.52.png,4
Captura de Tela 2025-11-05 às 12.15.06.png,7
Captura de Tela 2025-10-23 às 11.54.34.png,3
8rmwR4PcOGs5.jpg,5
Captura de Tela 2025-11-10 às 11.35.29.png,3
Captura de Tela 2025-11-05 às 11.57.53.png,5
Captura de Tela 2025-11-10 às 12.32.26.png,4
Captura de Tela 2025-11-05 às 11.46.36.png,4
Captura de Tela 2025-11-09 às 13.07.10.png,3
Captura de Tela 2025-11-10 às 12.45.25.png,4
Captura de Tela 2025-11-05 às 11.55.20.png,5
Captura de Tela 2025-11-05 às 09.37.58.png,5
Captura de Tela 2025-11-05 às 10.51.35.png,2
Captura de Tela 2025-11-05 às 10.52.44.png,1
Captura de Tela 2025-10-23 às 10.51.42.png,6
Captura de Tela 2025-11-05 às 12.00.06.png,6
Captura de Tela 2025-10-23 às 12.12.07.png,6
Captura de Tela 2025-10-23 às 11.14.50.png,5
Captura de Tela 2025-11-05 às 11.58.40.png,1
Captura de Tela 2025-11-05 às 10.46.46.png,1
Captura de Tela 2025-11-05 às 12.09.04.png,6
Captura de Tela 2025-10-23 às 12.17.03.png,7
Captura de Tela 2025-11-05 às 09.13.38.png,7
Captura de Tela 2025-11-10 às 12.09.36.png,4
Captura de Tela 2025-11-05 às 10.37.06.png,1
guZaWe6VWiGY.jpg,3
Captura de Tela 2025-11-05 às 09.31.27.png,6
Captura de Tela 2025-11-05 às 08.59.53.png,5
Captura de Tela 2025-11-10 às 11.11.42.png,3
Captura de Tela 2025-11-10 às 11.28.36.png,3
Captura de Tela 2025-11-05 às 09.15.16.png,7
Captura de Tela 2025-10-23 às 11.42.11.png,6
Captura de Tela 2025-10-23 às 12.04.51.png,5
Captura de Tela 2025-10-23 às 10.59.05.png,2
Captura de Tela 2025-11-05 às 10.40.30.png,1
Captura de Tela 2025-11-05 às 10.43.22.png,2
Captura de Tela 2025-11-05 às 11.07.23.png,1
Captura de Tela 2025-11-05 às 11.16.03.png,2
Captura de Tela 2025-11-05 às 12.14.15.png,7
Captura de Tela 2025-11-10 às 12.07.38.png,4
Captura de Tela 2025-11-05 às 09.11.39.png,7
Captura de Tela 2025-11-10 às 12.13.54.png,2
